Date,Country,News Type,Article,Fact-Checked by
8/6/2020, Brazil,FALSE,COVID-19 is being controlled in Africa because of widespread distribution of ivermectin, Agência Lupa
8/6/2020, Colombia,FALSE,A list of alleged remedies to treat coronavirus., Colombiacheck
8/6/2020, India,Misleading,Coronavirus does not float in air but is grounded – UNICEF, Vishvas News
8/6/2020, Colombia,FALSE,Covid – 19 is a bacteria amplified by 5G technology, Colombiacheck
8/6/2020, India,FALSE,Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry – UNICEF, Vishvas News
8/6/2020, Brazil,FALSE,"There was a 78% fall on Chinese product sales in Brazil due to a boycott motivated by the pandemic, acording to INCINT", Agência Lupa
8/6/2020, Spain,FALSE,A post claims that PCR test “cause damage to the blood-brain barrier” or “create a direct entrance to the brain for any infection.”, Maldita.es
8/6/2020, Spain,FALSE,Supposed tweet form Berlin Police claims there was 3.5 million people at an August 1st rally in Berlin against coronavirus meassures., Maldita.es
8/6/2020, Spain,FALSE,A post spreading on WhatsApp claims there are 50 hospital guards job oppenings at IFEMA hospital in Madrid., Maldita.es
8/6/2020, Turkey,FALSE,A photo shows hand sanitizer being sold in a vitamin D box, Teyit
8/3/2020, Spain,FALSE,"Pedro Sanchez, president of government of Spain, spoke about a Scientific Committee and now the government recognize that committee never existed.", Maldita.es
8/2/2020, United States,Misleading,"Facebook posts shared thousands of times claim Washington’s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a “high-risk” state for the coronavirus.", AFP
8/2/2020, Italy,Misleading,"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the Covid-19 pandemic.", Facta
8/2/2020, Italy,Misleading,"A picture allegedly showing a large crowd (more than a million people) gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the COVID-19 pandemic.", Facta
8/2/2020, Australia,FALSE,A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against coronavirus restrictions in Germany in August 2020., AFP
8/2/2020, Australia,FALSE,A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020., AFP
8/1/2020, Colombia,FALSE,"List of substances that cure coronavirus, according to a Cali doctor.", Colombiacheck
8/1/2020, Italy,Misleading,"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the “Health dictatorship” imposed by the government to stop the Covid-19 pandemic.", Facta
7/31/2020, Argentina,FALSE,A post that claims that cigarette smoke transmits the coronavirus, Chequeado
7/31/2020, Colombia,FALSE,"Barack Obama, Melinda Gates and Anthony Fauci visited a laboratory in Wuhan.", Colombiacheck
7/31/2020, Colombia,FALSE,"In Colombia, ICUs and hospitals are empty.", Colombiacheck
7/31/2020, New Zealand,FALSE,Multiple Facebook posts shared hundreds of times claim “viruses do not harm or kill [people]” and that any “harm and death” caused by a virus can be attributed to “the overreaction of a weakened and dysfunctional immune system”., AFP
7/31/2020, Colombia,FALSE,Photos of inflamed tonsils circulating on Facebook are from patients with COVID-19., Colombiacheck
7/31/2020, Brazil,FALSE,"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID-19", Agência Lupa
7/31/2020, Colombia,FALSE,WHO said ‘perhaps there was no reason to order lockdowns for coronavirus’, Colombiacheck
7/31/2020, Argentina,Misleading,"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): “The North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years ”", Chequeado
7/31/2020, Brazil,FALSE,"Lojas Americanas, a Brazilian retail company, is offering free gift cards for families in distress caused by the pandemic", Agência Lupa
7/31/2020, Brazil,FALSE,"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID-19", Agência Lupa
7/31/2020, Colombia,FALSE,The new coronavirus vaccine has “digitizable RNA” that is “activated by 5G” and can reactivate the virus., Colombiacheck
7/31/2020, New Zealand,FALSE,Multiple Facebook posts shared hundreds of times claim “viruses do not harm or kill [people]” and that any “harm and death” caused by a virus can be attributed to “the overreaction of a weakened and dysfunctional immune system”., AFP
7/31/2020, Colombia,FALSE,"In Colombia, ICUs and hospitals are empty.", Colombiacheck
7/31/2020, Colombia,FALSE,Adidas is giving away face masks., Colombiacheck
7/31/2020, Argentina,FALSE,A publication that claims that a doctor from the Muñiz hospital named “Marcos Vargas” died from treating patients with coronavirus, Chequeado
7/31/2020, Colombia,FALSE,Photos of inflamed tonsils circulating on Facebook are from patients with COVID-19., Colombiacheck
7/31/2020, Brazil,FALSE,South Korea study finds quarantines useless in combating COVID-19, Aos Fatos
7/31/2020, Argentina,FALSE,The vaccine against the new coronavirus has existed since 2001, Chequeado
7/31/2020, Colombia,FALSE,"Barack Obama, Melinda Gates and Anthony Fauci visited a laboratory in Wuhan.", Colombiacheck
7/31/2020, Colombia,FALSE,WHO said ‘perhaps there was no reason to order lockdowns for coronavirus’, Colombiacheck
7/30/2020, Philippines,FALSE,President Rodrigo Duterte announced in his 2020 State of the Nation Address that classes are cancelled for school year 2020-2021., VERA Files
7/30/2020, Canada,FALSE,Facebook posts claimed that British Columbia’s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex., AFP
8/2/2020, Italy,Misleading,"A picture allegedly showing a large crowd (more than a million people) gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the COVID-19 pandemic.", Facta
8/2/2020, United States,Misleading,"Facebook posts shared thousands of times claim Washington’s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a “high-risk” state for the coronavirus.", AFP
8/2/2020, Australia,FALSE,A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020., AFP
8/2/2020, Italy,Misleading,"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the Covid-19 pandemic.", Facta
8/2/2020, Australia,FALSE,A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against coronavirus restrictions in Germany in August 2020., AFP
8/1/2020, Colombia,FALSE,"List of substances that cure coronavirus, according to a Cali doctor.", Colombiacheck
8/1/2020, Italy,Misleading,"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the “Health dictatorship” imposed by the government to stop the Covid-19 pandemic.", Facta
7/31/2020, Argentina,FALSE,The vaccine against the new coronavirus has existed since 2001, Chequeado
7/31/2020, Argentina,FALSE,An image published by the Argentine journalist Viviana Canosa of two people not respecting social distancing at the Casa Rosada, Chequeado
7/31/2020, Japan,FALSE,A street protest criticizing Japanese Prime Minister Shinzo Abe’s government is the source of the “night life city cluster”, BuzzFeed Japan
7/31/2020, Argentina,FALSE,"Tasuku Honjo, Nobel Prize in Medicine, said that the coronavirus “is not natural”", Chequeado
7/31/2020, Colombia,FALSE,The new coronavirus vaccine has “digitizable RNA” that is “activated by 5G” and can reactivate the virus., Colombiacheck
7/31/2020, Argentina,FALSE,A publication that claims that a doctor from the Muñiz hospital named “Marcos Vargas” died from treating patients with coronavirus, Chequeado
7/31/2020, Argentina,Misleading,"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): “The North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years ”", Chequeado
7/31/2020, Colombia,FALSE,Adidas is giving away face masks., Colombiacheck
7/31/2020, Argentina,FALSE,A post that claims that cigarette smoke transmits the coronavirus, Chequeado
7/31/2020, Colombia,FALSE,"In Colombia, ICUs and hospitals are empty.", Colombiacheck
7/31/2020, Argentina,FALSE,63 intensive care beds were occupied by infected protesters, Chequeado
7/31/2020, Brazil,FALSE,"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID-19", Agência Lupa
7/31/2020, Colombia,FALSE,The new coronavirus vaccine has “digitizable RNA” that is “activated by 5G” and can reactivate the virus., Colombiacheck
7/31/2020, Brazil,FALSE,"A combination for hydroxychloroquine, azitromicin and zinc that is guaranteed to cure 99.9% of any COVID-19 patient", Agência Lupa
7/31/2020, Japan,FALSE,A street protest criticizing Japanese Prime Minister Shinzo Abe’s government is the source of the “night life city cluster”, BuzzFeed Japan
7/31/2020, Argentina,FALSE,An image published by the Argentine journalist Viviana Canosa of two people not respecting social distancing at the Casa Rosada, Chequeado
7/31/2020, Argentina,Misleading,"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): “The North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years ”", Chequeado
7/31/2020, New Zealand,FALSE,Multiple Facebook posts shared hundreds of times claim “viruses do not harm or kill [people]” and that any “harm and death” caused by a virus can be attributed to “the overreaction of a weakened and dysfunctional immune system”., AFP
7/31/2020, Argentina,FALSE,"Tasuku Honjo, Nobel Prize in Medicine, said that the coronavirus “is not natural”", Chequeado
7/31/2020, Colombia,FALSE,"Barack Obama, Melinda Gates and Anthony Fauci visited a laboratory in Wuhan.", Colombiacheck
7/31/2020, Colombia,FALSE,Photos of inflamed tonsils circulating on Facebook are from patients with COVID-19., Colombiacheck
7/30/2020, Brazil,FALSE,"Brazilian City Halls receive R$ 19,000 in federal funding for each recorded COVID-19 death.", Aos Fatos
7/30/2020, Canada,FALSE,Facebook posts claimed that British Columbia’s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex., AFP
7/30/2020, Brazil,FALSE,"Brazilian City Halls receive R$ 19,000 in federal funding for each recorded COVID-19 death.", Aos Fatos
7/30/2020, Brazil,FALSE,"Ziraldo, Brazilian cartoon artist, stated that all mayors who ordered lockdowns will not be reelected", Agência Lupa
7/30/2020, Belgium,FALSE,A doctor claims most Belgians are immune to COVID-19, Factcheck.Vlaanderen
7/30/2020, United States,FALSE,"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.", FactCheck.org
7/30/2020, Philippines,FALSE,President Rodrigo Duterte announced in his 2020 State of the Nation Address that classes are cancelled for school year 2020-2021., VERA Files
7/29/2020, Philippines,FALSE,"Philippine Education Secretary Leonor Briones is shown quoted as saying classes will resume on Aug. 24 amid the COVID-19 pandemic and that “if we die, we die.”", VERA Files
7/29/2020, Spain,FALSE,The flu vaccine caused the spread of COVID-19., Maldita.es
7/29/2020, Spain,FALSE,An image claims that an immigrant who tested “positive for COVID-19” and “arrived in a boat yesterday” has fled in the Calpe area (Alicante). The alleged escapee’s full name as well as the photo of the alleged escape appear in the image. It also claims the man fled the El Matorral detention center., Maldita.es
7/29/2020, Brazil,FALSE,Chloroquine is the cure for COVID-19 and masks should not be used., Aos Fatos
7/29/2020, Turkey,FALSE,"During COVID-19 PCR test, microships are integrated to human bodies", Teyit
7/29/2020, Costa Rica,FALSE,A post claims several medicine combinations cure COVID-19, La Nación
7/29/2020, Spain,FALSE,"A video shows a group of doctors calling itself “Doctors for the truth” defend and justify claims that masks don’t work, lockdowns won’t stop the virus, and the flu vaccine spread SARS-CoV2.", Maldita.es
7/29/2020, Spain,FALSE,"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2.  It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.", Maldita.es
7/29/2020, Colombia,FALSE,Chlorine dioxide removes the coronavirus from the body within 48 hours, Colombiacheck
7/29/2020, Colombia,FALSE,"Andrés Fabián Hurtado, the Mayor of Ibagué, says his city lost four million jobs due to the coronavirus", Colombiacheck
7/29/2020, Philippines,FALSE,President Rodrigo Duterte has signed a law that will move the start of classes to end-August., VERA Files
7/29/2020, Brazil,FALSE,WHO backtracked and now argues that all economies should be reopened immediately, Agência Lupa
7/29/2020, Spain,FALSE,The flu vaccine caused the spread of COVID-19., Maldita.es
7/29/2020, Colombia,FALSE,"A doctor recommends the use of ivermectin, hydroxychloroquine, chlorine dioxide and interferon to cure coronavirus.", La Silla Vacía
7/29/2020, Spain,FALSE,"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2.  It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.", Maldita.es
7/29/2020, Brazil,FALSE,Wearing a mask lowers the blood oxygen level., Aos Fatos
7/28/2020," Spain, Portugal",FALSE,"A Facebook post that claims that the COVID-19 is a “fraud,” because the mass media used the same photo of a portuguese boy in multiple stories about children who died from COVID-19.", Maldita.es
7/28/2020, United States,FALSE,"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people don’t need to wear masks or practice physical distancing in a Breitbart video featuring a group called America’s Frontline Doctors.", Science Feedback
7/28/2020, Italy,FALSE,"A news article claims 30% of Ukrainian patients who participated in an American COVID-19 vaccine trial died. The test took place in the area of Lugansk, an Ukrainian separatist region", Facta
7/28/2020, Spain,FALSE,An image shows a traffic accident where the driver allegedly died from hypoxia from wearing the mask., Maldita.es
7/28/2020, Colombia,FALSE,"Lemon, ginger and garlic cures coronavirus.", La Silla Vacía
7/28/2020, Brazil,FALSE,"A photo of a young man with a swollen face. Allegedly, he was a volunteer for Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil", Agência Lupa
7/28/2020, Brazil,FALSE,The COVID-19 vaccine causes bad alergic reactions., Estadão Verifica
7/28/2020, Brazil,FALSE,CoronaVac uses cells from aborted fetuses., Aos Fatos
7/28/2020," Spain, United Kingdom",FALSE,"Spanish Prime Minister, Pedro Sánchez, said this Monday, July 27 in an interview for ‘Informativos Telecinco’ that [min. 1:19] “in most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist […] on the average also for the United Kingdom”.", Maldita.es
7/28/2020, Colombia,FALSE,Dr. Stella Immanuel says a cure has been found for COVID-19, Colombiacheck
7/28/2020, Brazil,FALSE,A photo of man with swollen face shows side effect of CoronaVac in Brazilian volunteer, Aos Fatos
7/28/2020, Colombia,Misleading,An image that casts doubt on the tools used in rapid tests for coronavirus., La Silla Vacía
7/28/2020," Georgia, United States",FALSE,"The truck depicting the god of death Anubis is aimed at testing and then infecting people, which eventually ends with human microchipping.", Myth Detector
7/28/2020, Mexico,FALSE,A post claimed that photos of a man in a gold mask are of a religious leader who “asked his congregation for a gold mask because God revealed it to him in a dream.”, Animal Político
7/28/2020, Brazil,FALSE,"A photo of a young man with a swollen face. Allegedly, he was a volunteer for Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil", Agência Lupa
7/28/2020, Brazil,FALSE,CoronaVac uses cells from aborted fetuses., Aos Fatos
7/28/2020, Mexico,FALSE,Video of a doctor at a press conference who said: Hydroxychloroquine is a cure for COVID-19. He also said that masks are not necessary., Animal Político
7/28/2020, United States,FALSE,"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people don’t need to wear masks or practice physical distancing in a Breitbart video featuring a group called America’s Frontline Doctors.", Science Feedback
7/28/2020, United States,FALSE,A group called America’s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures COVID-19., FactCheck.org
7/27/2020, Brazil,FALSE,Doctors cannon lose their professional license for refusing to prescribe hydroxychloroquine., Estadão Verifica
7/27/2020, Brazil,FALSE,There’s chloroquine and ivermectine on lemon and orange peels, Agência Lupa
7/27/2020," France, Belgium",FALSE,The border between France and Belgium will be closed, AFP
7/27/2020, Brazil,FALSE,Brazilian CoronaVac volunteer reported body pain and fever after vaccination., Aos Fatos
7/27/2020, Brazil,Misleading,"Brazilian regulatory agency Anvisa labeled ivermectin a controled substance, because it’s cheap and helps save lives.", Estadão Verifica
7/27/2020," Georgia, United States",FALSE,Lawsuits filed against Fauci and Gates for creating and artificially disseminating the virus, Myth Detector
7/27/2020, France,FALSE,Masks pores are too large to block virus, AFP
7/27/2020, Italy,FALSE,"A Facebook post claiming that the Italian minister for Education Lucia Azzolina wants to buy school desks at €300, while it’s possible to find the same product online at €30.", Facta
7/27/2020, Argentina,FALSE,A post from the Russian Virology Center that recommends an alkaline diet to fight coronavirus., Chequeado
7/27/2020, Brazil,FALSE,Brazilian CoronaVac volunteer reported body pain and fever after vaccination., Aos Fatos
7/27/2020, Brazil,FALSE,There’s chloroquine and ivermectine on lemon and orange peels, Agência Lupa
7/27/2020," Poland, Australia",FALSE,"Multiple posts shared hundreds of times on Facebook and Twitter claim that four Ukrainian soldiers died after participating in American COVID-19 vaccine trials in the northeastern Ukrainian city of Kharkiv. The claim, published in several languages across different posts, was attributed to a police spokesperson in the self-proclaimed Lugansk People’s Republic.", AFP
7/27/2020, Brazil,Misleading,"Brazilian regulatory agency Anvisa labeled ivermectin a controled substance, because it’s cheap and helps save lives.", Estadão Verifica
7/27/2020," France, Belgium",FALSE,The border between France and Belgium will be closed, AFP
7/27/2020, Philippines,Misleading,Multiple Facebook posts shared tens of thousands of times claim that Philippine President Rodrigo Duterte announced in his recent national address there would be “no classes for all in 2020-2021”., AFP
7/26/2020, Philippines,FALSE,The World Health Organization announced that SARS-CoV-2 can stay in the air for eight hours., VERA Files
7/26/2020," Australia, Netherlands",FALSE,"Multiple posts shared tens of thousands of times on Facebook and Twitter claim that a woman contracted pleurisy, a lung inflammation condition, after wearing a face mask for an extended period of time. According to the posts, the unidentified woman caught the disease because she was breathing in carbon dioxide and her own bacteria.", AFP
7/26/2020, India,Misleading,Pictures of a flooded NMCH hospital in Patna, Vishvas News
7/26/2020, United States,FALSE,The nasal swab test for COVID-19 damages the “blood-brain barrier” and can therefore lead to brain infections., FactCheck.org
7/26/2020, India,FALSE,COVID-19 Means ‘See A Sheep Surrender’ In Latin, Vishvas News
7/25/2020, Argentina,FALSE,"Publications that state that “the new vaccine contains digitizable ‘RNA’”, an alleged “replicant that is activated by 5G” and that is why “the virus can be reactivated after the patient recovers”", Chequeado
7/25/2020," Mexico, Honduras",FALSE,A ship carrying Honduran mobile hospitals caught fire, Animal Político
7/24/2020, Argentina,FALSE,"A viral video where an interview from the Tierra Pura portal is disseminated to the doctor Mariana Colombres Garmendia, who denounces the overregistration of the numbers of people infected and killed by the COVID-19 disease in Argentina, and says that the Buenos Aires government pays the doctors or institutions for doing so for the alleged purpose of extending the quarantine", Chequeado
7/24/2020, Argentina,FALSE,"The Governor of Jujuy (Argentina), Gerardo Morales: “In the Metropolitan Area [of Buenos Aires] 20% of those infected are health personnel”", Chequeado
7/24/2020, Philippines,FALSE,Philippine opposition senator Leila De Lima is shown in a quote card begging President Rodrigo Duterte to free her from detention in fear of dying from COVID-19., VERA Files
7/24/2020, Brazil,Misleading,Oxford University’s vaccine is made using the cells of aborted fetuses., Estadão Verifica
7/24/2020, Colombia,FALSE,A photo claiming to show Jair Bolsonaro hospitalized for coronavirus., La Silla Vacía
7/24/2020, Brazil,FALSE,Cuba’s low number of COVID-19 deaths is due to its use of hydroxychloroquine to treat patients, Estadão Verifica
7/24/2020, Brazil,FALSE,"A randomized, double-blind study by Henry Ford Health System proved that hydroxychloroquine is effective against COVID-19", Agência Lupa
7/24/2020, Colombia,Misleading,A photo claims to show a prescription list of medications to treat coronavirus at home., La Silla Vacía
7/24/2020, Costa Rica,FALSE,"A post uses an image of an “undocumented Nicaraguan” and claims he tested positive for COVID-19, and is “spitting on doors”", La Nación
7/24/2020, Italy,FALSE,A video stating that in Brazil hospitals receive €3.000 for each Covid-19-related death., Facta
7/24/2020, Brazil,FALSE,The active ingredients in chloroquine and ivermectin are also found in lemon and orange peels., Aos Fatos
7/24/2020,,Explicative:,The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used., Agencia Ocote
7/24/2020, Colombia,FALSE,Boyacá scientist says he can cure patients with COVID-19 through biology., Colombiacheck
7/24/2020, Argentina,FALSE,"A viral video where an interview from the Tierra Pura portal is disseminated to the doctor Mariana Colombres Garmendia, who denounces the overregistration of the numbers of people infected and killed by the COVID-19 disease in Argentina, and says that the Buenos Aires government pays the doctors or institutions for doing so for the alleged purpose of extending the quarantine", Chequeado
7/24/2020, Brazil,Misleading,Oxford University’s vaccine is made using the cells of aborted fetuses., Estadão Verifica
7/24/2020,,Explicative:,The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used., Agencia Ocote
7/24/2020, Colombia,FALSE,Boyacá scientist says he can cure patients with COVID-19 through biology., Colombiacheck
7/23/2020," France, Belgium",FALSE,"It s good to catch COVID-19 in the summer, as it is less aggressive", AFP
7/23/2020, India,Misleading,The picture shown in the post is of Dr Sundar Tolani who died due to coronavirus, Vishvas News
7/23/2020, Brazil,FALSE,"The World Health Organization suspended production of an American COVID-19 vaccine, and promoted the Chinese version.", Aos Fatos
7/23/2020, United States,FALSE,5G generates the coronavirus SARS-CoV-2 in human skin cells., Science Feedback
7/23/2020, India,FALSE,Viral pictures show organ trafficking of COVID-19 patients dead bodies., Vishvas News
7/23/2020,,Explicative:,"The Government offered an economic bonus for those households that consumed less electrical energy. The process reflected problems and due to some amendments, the bond changed its objective.", Agencia Ocote
7/23/2020, Colombia,FALSE,The president of Ghana said that the coronavirus was created in a laboratory, Colombiacheck
7/23/2020, United States,FALSE,The Centers for Disease Control and Prevention made a mistake and has lowered its COVID-19 case count in Florida., FactCheck.org
7/23/2020," Hong Kong, China",Misleading,The COVID-19 vaccine being developed in China is more effective and cheaper than the one developed by Oxford University., Annie Lab
7/23/2020, United States,No Evidence:,A Facebook video claims that a new oral spray “deactivates 98% of the coronavirus” in the mouth. This effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the SARS-CoV-2 virus., Science Feedback
7/23/2020, Brazil,FALSE,"Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil, is made with aborted fetus cells", Agência Lupa
7/23/2020, India,FALSE,COVID-19 Means ‘See A Sheep Surrender’ In Latin, Vishvas News
7/23/2020, Colombia,FALSE,The president of Ghana said that the coronavirus was created in a laboratory, Colombiacheck
7/23/2020, Colombia,FALSE,Ivermectin cures the new coronavirus., La Silla Vacía
7/23/2020, Brazil,FALSE,"The World Health Organization suspended production of an American COVID-19 vaccine, and promoted the Chinese version.", Aos Fatos
7/23/2020, Colombia,Misleading,Mayor Claudia López was quoted saying housewives are the occupation with the highest contagion in Bogotá, Colombiacheck
7/23/2020, Colombia,FALSE,"Chlorine, bleach, or corrosive should be flushed down the toilet to prevent expansion of the coronavirus", Colombiacheck
7/23/2020, Brazil,FALSE,A tweet from Olavo de Carvalho claims that three ministers from Macron’s government were being investigated because of misregulation regarding chloroquine, Estadão Verifica
7/23/2020, United States,FALSE,5G generates the coronavirus SARS-CoV-2 in human skin cells., Science Feedback
7/23/2020, India,Misleading,The picture shown in the post is of Dr Sundar Tolani who died due to coronavirus, Vishvas News
7/23/2020, India,FALSE,Viral pictures show organ trafficking of COVID-19 patients dead bodies., Vishvas News
7/22/2020, Spain,FALSE,"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections.", Maldita.es
7/22/2020," France, Belgium",FALSE,"A photo that supposedly shows European leaders without masks on July, 20, 2020", AFP
7/22/2020, Brazil,FALSE,RNA-based COVID-19 vaccines can turn humans into genetically modified organisms., Agência Lupa
7/22/2020, New Zealand,Misleading,"A video shows a candidate in the upcoming New Zealand elections claiming that the country’s prime minister, Jacinda Ardern, authorised the military to enter private residences in order to enforce COVID-19 quarantine measures. It has been viewed tens of thousands of times in multiple posts on Facebook in July 2020.", AFP
7/22/2020, Brazil,FALSE,"The first person to received a Chinese COVID-19 vaccine that is being tested in Brazil was not actually vaccinated. The video was just a simulation, since the cap of the injection was still on.", Agência Lupa
7/22/2020, Spain,FALSE,"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections.", Maldita.es
7/22/2020, Brazil,FALSE,A journalist who denounced politicians in Pará for stealing funds destined to fight COVID-19 was shot and killed., Agência Lupa
7/22/2020, Brazil,FALSE,"According to the Brazilian Civil Registry, there were more deaths in 2019 than in 2020, considering the first semester only.", Agência Lupa
7/22/2020, India,FALSE,Central government has given permission for schools to re-open., FactCrescendo
7/22/2020, Brazil,FALSE,"The Brazilian federal government dismissed 396,000 civil servants who received fraudulent COVID-19 emergency assistance.", Aos Fatos
7/22/2020," Argentina, Mexico",FALSE,A post that shows a doctor from Santiago del Estero (Argentina) who is fighting against the coronavirus., Chequeado
7/22/2020," Spain, France",Misleading,"A video that supposedly shows medical staff protesting because the pandemic is a “fraud”, something not real.", Newtral.es
7/22/2020, India,FALSE,Masks can be sanitized in microwave, Vishvas News
7/22/2020, Colombia,Misleading,The EPS tested less than 5% of the inhabitants of Córdoba for COVID-19, Colombiacheck
7/22/2020, Spain,FALSE,An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone, Newtral.es
7/22/2020," France, Belgium",FALSE,"A photo that supposedly shows European leaders without masks on July, 20, 2020", AFP
7/22/2020, Brazil,FALSE,"The first person to received a Chinese COVID-19 vaccine that is being tested in Brazil was not actually vaccinated. The video was just a simulation, since the cap of the injection was still on.", Agência Lupa
7/22/2020, India,FALSE,"Drinking water boiled with turmeric powder, ginger, carom seeds and coriander seeds can cure COVID-19.", FactCrescendo
7/22/2020, Brazil,FALSE,RNA-based COVID-19 vaccines can turn humans into genetically modified organisms., Agência Lupa
